batch_id	date	action	value	Comments
1		condition	water_deficit	H κατανομη στα bathes, γινεται με βάση το plant seeds, όσα έχουν την ίδια ημερομηνία φυτευσης χρησιμοποιείται το inoculation day 
1		scientist	christos	
1		plant_chamber	aralab	
1		irrigation_frequency_	0	
1		final_irrigation_volume_(ml)	0	
1		irrigation_volume/irrigation	0	
1		irrigation_number	0	
1	 2023-09-20	plant_seeds		
1	 2023-10-20	inoculation		
1	 2023-11-03	wet_mass_measurement		
1	 2024-01-08	dry_mass_measurement	66	
2		condition	water_deficit	
2		scientist	christos	
2		plant_chamber	aralab	
2		irrigation_frequency_	0	
2		final_irrigation_volume_(ml)	0	
2		irrigation_volume/irrigation	0	
2		irrigation_number	0	
2	 2023-09-20	plant_seeds		
2	 2023-10-20	inoculation		
2	 2023-11-06	wet_mass_measurement		
2	 2024-01-09	dry_mass_measurement	64	
3		condition	pgp	
3		scientist	nektaria	
3		plant_chamber	aralab	
3		irrigation_frequency_	daily 	
3		final_irrigation_volume_(ml)	20	
3		irrigation_volume/irrigation	3_daily_one_second_day	
3		irrigation_number	4	
3	 2024-01-10	plant_seeds		
3	 2024-02-13	inoculation	34	
3	 2024-02-22	wet_mass_measurement	9	
3	 2024-04-02	dry_mass_measurement	40	
4		condition	nacl	
4		scientist	nektaria	
4		plant_chamber	aralab	
4		irrigation_frequency_	10_times_daily_3_times_every_third_day	
4		final_irrigation_volume_(ml)	165	
4		irrigation_volume/irrigation	8(10)_3(15)_2(20)	
4		irrigation_number	13	
4	 2024-01-16	plant_seeds		
4	 2024-02-20	inoculation	35	
4	 2024-03-13	wet_mass_measurement	22	
4	 2024-04-23	dry_mass_measurement	41	
5		condition	nacl	
5		scientist	nektaria	
5		plant_chamber	aralab	
5		irrigation_frequency_	6_times_daily_6_times_every_second_day	
5		final_irrigation_volume_(ml)	125	
5		irrigation_volume/irrigation	1(5)_9(10)_2(15)	
5		irrigation_number	12	
5	 2024-03-27	plant_seeds		
5	 2024-04-26	inoculation	30	
5	 2024-05-20	wet_mass_measurement	24	
5	 2024-06-12	dry_mass_measurement	22-23	
6		condition	water_deficit	
6		scientist	nektaria	
6		plant_chamber	conviron	
6		irrigation_frequency_	0	
6		final_irrigation_volume_(ml)	0	
6		irrigation_volume/irrigation	0	
6		irrigation_number	0	
6	 2024-03-28	plant_seeds		
6	 2024-04-28	inoculation	31	
6	 2024-05-28	wet_mass_measurement	30	τόσες μέρες έχουν μείνει??
6	 2024-06-10	dry_mass_measurement	13	
7		condition	pgp	
7		scientist	nektaria	
7		plant_chamber	aralab	
7		irrigation_frequency_	3_times_daily_2_times_every_second_day	
7		final_irrigation_volume_(ml)	34	
7		irrigation_volume/irrigation	2(5)_2(7)_1(10)	
7		irrigation_number	5	
7	 2024-05-29	plant_seeds		
7	 2024-06-25	inoculation	27	
7	 2024-07-11	wet_mass_measurement	16	
7	 2024-09-02	dry_mass_measurement	53	
8		condition	pgp	
8		scientist	nektaria	
8		plant_chamber	common aralab	
8		irrigation_frequency_	2_times_daily_2_times_every_second_day	
8		final_irrigation_volume_(ml)	34	
8		irrigation_volume/irrigation	1(5)_2(7)_1(15)	
8		irrigation_number	4	
8	 2024-05-29	plant_seeds		
8	 2024-06-27	inoculation	29	
8	 2024-07-10	wet_mass_measurement	13	
8	 2024-09-02	dry_mass_measurement	54	
9		condition	water_deficit	
9		scientist	nektaria	δεν υπάρχει e. coli ως control
9		plant_chamber	common aralab	
9		irrigation_frequency_	0	
9		final_irrigation_volume_(ml)	0	
9		irrigation_volume/irrigation	0	
9		irrigation_number	0	
